column,low_level_descriptor,value_or_delta,window_statistic,song_aggregation,description
pcm_fftMag_spectralRollOff25.0_sma_stddev__mean_over_time,pcm_fftMag_spectralRollOff25.0,value,std,mean,
pcm_fftMag_spectralRollOff25.0_sma_amean__mean_over_time,pcm_fftMag_spectralRollOff25.0,value,mean,mean,
pcm_fftMag_spectralRollOff50.0_sma_stddev__mean_over_time,pcm_fftMag_spectralRollOff50.0,value,std,mean,
pcm_fftMag_spectralRollOff50.0_sma_amean__mean_over_time,pcm_fftMag_spectralRollOff50.0,value,mean,mean,
pcm_fftMag_spectralRollOff75.0_sma_stddev__mean_over_time,pcm_fftMag_spectralRollOff75.0,value,std,mean,
pcm_fftMag_spectralRollOff75.0_sma_amean__mean_over_time,pcm_fftMag_spectralRollOff75.0,value,mean,mean,
pcm_fftMag_spectralRollOff90.0_sma_stddev__mean_over_time,pcm_fftMag_spectralRollOff90.0,value,std,mean,
pcm_fftMag_spectralRollOff90.0_sma_amean__mean_over_time,pcm_fftMag_spectralRollOff90.0,value,mean,mean,
pcm_fftMag_spectralFlux_sma_stddev__mean_over_time,pcm_fftMag_spectralFlux,value,std,mean,
pcm_fftMag_spectralFlux_sma_amean__mean_over_time,pcm_fftMag_spectralFlux,value,mean,mean,
pcm_fftMag_spectralCentroid_sma_stddev__mean_over_time,pcm_fftMag_spectralCentroid,value,std,mean,
pcm_fftMag_spectralCentroid_sma_amean__mean_over_time,pcm_fftMag_spectralCentroid,value,mean,mean,
pcm_fftMag_spectralEntropy_sma_stddev__mean_over_time,pcm_fftMag_spectralEntropy,value,std,mean,
pcm_fftMag_spectralEntropy_sma_amean__mean_over_time,pcm_fftMag_spectralEntropy,value,mean,mean,
pcm_fftMag_spectralVariance_sma_stddev__mean_over_time,pcm_fftMag_spectralVariance,value,std,mean,
pcm_fftMag_spectralVariance_sma_amean__mean_over_time,pcm_fftMag_spectralVariance,value,mean,mean,
pcm_fftMag_spectralSkewness_sma_stddev__mean_over_time,pcm_fftMag_spectralSkewness,value,std,mean,
pcm_fftMag_spectralSkewness_sma_amean__mean_over_time,pcm_fftMag_spectralSkewness,value,mean,mean,
pcm_fftMag_spectralKurtosis_sma_stddev__mean_over_time,pcm_fftMag_spectralKurtosis,value,std,mean,
pcm_fftMag_spectralKurtosis_sma_amean__mean_over_time,pcm_fftMag_spectralKurtosis,value,mean,mean,
pcm_fftMag_spectralSlope_sma_stddev__mean_over_time,pcm_fftMag_spectralSlope,value,std,mean,
pcm_fftMag_spectralSlope_sma_amean__mean_over_time,pcm_fftMag_spectralSlope,value,mean,mean,
pcm_fftMag_psySharpness_sma_stddev__mean_over_time,pcm_fftMag_psySharpness,value,std,mean,
pcm_fftMag_psySharpness_sma_amean__mean_over_time,pcm_fftMag_psySharpness,value,mean,mean,
pcm_fftMag_spectralHarmonicity_sma_stddev__mean_over_time,pcm_fftMag_spectralHarmonicity,value,std,mean,
pcm_fftMag_spectralHarmonicity_sma_amean__mean_over_time,pcm_fftMag_spectralHarmonicity,value,mean,mean,
pcm_fftMag_mfcc_sma[1]_stddev__mean_over_time,pcm_fftMag_mfcc[1],value,std,mean,
pcm_fftMag_mfcc_sma[1]_amean__mean_over_time,pcm_fftMag_mfcc[1],value,mean,mean,
pcm_fftMag_mfcc_sma[2]_stddev__mean_over_time,pcm_fftMag_mfcc[2],value,std,mean,
pcm_fftMag_mfcc_sma[2]_amean__mean_over_time,pcm_fftMag_mfcc[2],value,mean,mean,
pcm_fftMag_mfcc_sma[3]_stddev__mean_over_time,pcm_fftMag_mfcc[3],value,std,mean,
pcm_fftMag_mfcc_sma[3]_amean__mean_over_time,pcm_fftMag_mfcc[3],value,mean,mean,
pcm_fftMag_mfcc_sma[4]_stddev__mean_over_time,pcm_fftMag_mfcc[4],value,std,mean,
pcm_fftMag_mfcc_sma[4]_amean__mean_over_time,pcm_fftMag_mfcc[4],value,mean,mean,
pcm_fftMag_mfcc_sma[5]_stddev__mean_over_time,pcm_fftMag_mfcc[5],value,std,mean,
pcm_fftMag_mfcc_sma[5]_amean__mean_over_time,pcm_fftMag_mfcc[5],value,mean,mean,
pcm_fftMag_mfcc_sma[6]_stddev__mean_over_time,pcm_fftMag_mfcc[6],value,std,mean,
pcm_fftMag_mfcc_sma[6]_amean__mean_over_time,pcm_fftMag_mfcc[6],value,mean,mean,
pcm_fftMag_mfcc_sma[7]_stddev__mean_over_time,pcm_fftMag_mfcc[7],value,std,mean,
pcm_fftMag_mfcc_sma[7]_amean__mean_over_time,pcm_fftMag_mfcc[7],value,mean,mean,
pcm_fftMag_mfcc_sma[8]_stddev__mean_over_time,pcm_fftMag_mfcc[8],value,std,mean,
pcm_fftMag_mfcc_sma[8]_amean__mean_over_time,pcm_fftMag_mfcc[8],value,mean,mean,
pcm_fftMag_mfcc_sma[9]_stddev__mean_over_time,pcm_fftMag_mfcc[9],value,std,mean,
pcm_fftMag_mfcc_sma[9]_amean__mean_over_time,pcm_fftMag_mfcc[9],value,mean,mean,
pcm_fftMag_mfcc_sma[10]_stddev__mean_over_time,pcm_fftMag_mfcc[10],value,std,mean,
pcm_fftMag_mfcc_sma[10]_amean__mean_over_time,pcm_fftMag_mfcc[10],value,mean,mean,
pcm_fftMag_mfcc_sma[11]_stddev__mean_over_time,pcm_fftMag_mfcc[11],value,std,mean,
pcm_fftMag_mfcc_sma[11]_amean__mean_over_time,pcm_fftMag_mfcc[11],value,mean,mean,
pcm_fftMag_mfcc_sma[12]_stddev__mean_over_time,pcm_fftMag_mfcc[12],value,std,mean,
pcm_fftMag_mfcc_sma[12]_amean__mean_over_time,pcm_fftMag_mfcc[12],value,mean,mean,
pcm_fftMag_mfcc_sma[13]_stddev__mean_over_time,pcm_fftMag_mfcc[13],value,std,mean,
pcm_fftMag_mfcc_sma[13]_amean__mean_over_time,pcm_fftMag_mfcc[13],value,mean,mean,
pcm_fftMag_mfcc_sma[14]_stddev__mean_over_time,pcm_fftMag_mfcc[14],value,std,mean,
pcm_fftMag_mfcc_sma[14]_amean__mean_over_time,pcm_fftMag_mfcc[14],value,mean,mean,
F0final_sma_de_stddev__mean_over_time,F0final,delta,std,mean,
F0final_sma_de_amean__mean_over_time,F0final,delta,mean,mean,
voicingFinalUnclipped_sma_de_stddev__mean_over_time,voicingFinalUnclipped,delta,std,mean,
voicingFinalUnclipped_sma_de_amean__mean_over_time,voicingFinalUnclipped,delta,mean,mean,
jitterLocal_sma_de_stddev__mean_over_time,jitterLocal,delta,std,mean,
jitterLocal_sma_de_amean__mean_over_time,jitterLocal,delta,mean,mean,
jitterDDP_sma_de_stddev__mean_over_time,jitterDDP,delta,std,mean,
jitterDDP_sma_de_amean__mean_over_time,jitterDDP,delta,mean,mean,
shimmerLocal_sma_de_stddev__mean_over_time,shimmerLocal,delta,std,mean,
shimmerLocal_sma_de_amean__mean_over_time,shimmerLocal,delta,mean,mean,
logHNR_sma_de_stddev__mean_over_time,logHNR,delta,std,mean,
logHNR_sma_de_amean__mean_over_time,logHNR,delta,mean,mean,
audspec_lengthL1norm_sma_de_stddev__mean_over_time,audspec_lengthL1norm,delta,std,mean,
audspec_lengthL1norm_sma_de_amean__mean_over_time,audspec_lengthL1norm,delta,mean,mean,
audspecRasta_lengthL1norm_sma_de_stddev__mean_over_time,audspecRasta_lengthL1norm,delta,std,mean,
audspecRasta_lengthL1norm_sma_de_amean__mean_over_time,audspecRasta_lengthL1norm,delta,mean,mean,
pcm_RMSenergy_sma_de_stddev__mean_over_time,pcm_RMSenergy,delta,std,mean,
pcm_RMSenergy_sma_de_amean__mean_over_time,pcm_RMSenergy,delta,mean,mean,
pcm_zcr_sma_de_stddev__mean_over_time,pcm_zcr,delta,std,mean,
pcm_zcr_sma_de_amean__mean_over_time,pcm_zcr,delta,mean,mean,
audSpec_Rfilt_sma_de[0]_stddev__mean_over_time,audSpec_Rfilt[0],delta,std,mean,
audSpec_Rfilt_sma_de[0]_amean__mean_over_time,audSpec_Rfilt[0],delta,mean,mean,
audSpec_Rfilt_sma_de[1]_stddev__mean_over_time,audSpec_Rfilt[1],delta,std,mean,
audSpec_Rfilt_sma_de[1]_amean__mean_over_time,audSpec_Rfilt[1],delta,mean,mean,
audSpec_Rfilt_sma_de[2]_stddev__mean_over_time,audSpec_Rfilt[2],delta,std,mean,
audSpec_Rfilt_sma_de[2]_amean__mean_over_time,audSpec_Rfilt[2],delta,mean,mean,
audSpec_Rfilt_sma_de[3]_stddev__mean_over_time,audSpec_Rfilt[3],delta,std,mean,
audSpec_Rfilt_sma_de[3]_amean__mean_over_time,audSpec_Rfilt[3],delta,mean,mean,
audSpec_Rfilt_sma_de[4]_stddev__mean_over_time,audSpec_Rfilt[4],delta,std,mean,
audSpec_Rfilt_sma_de[4]_amean__mean_over_time,audSpec_Rfilt[4],delta,mean,mean,
audSpec_Rfilt_sma_de[5]_stddev__mean_over_time,audSpec_Rfilt[5],delta,std,mean,
audSpec_Rfilt_sma_de[5]_amean__mean_over_time,audSpec_Rfilt[5],delta,mean,mean,
audSpec_Rfilt_sma_de[6]_stddev__mean_over_time,audSpec_Rfilt[6],delta,std,mean,
audSpec_Rfilt_sma_de[6]_amean__mean_over_time,audSpec_Rfilt[6],delta,mean,mean,
audSpec_Rfilt_sma_de[7]_stddev__mean_over_time,audSpec_Rfilt[7],delta,std,mean,
audSpec_Rfilt_sma_de[7]_amean__mean_over_time,audSpec_Rfilt[7],delta,mean,mean,
audSpec_Rfilt_sma_de[8]_stddev__mean_over_time,audSpec_Rfilt[8],delta,std,mean,
audSpec_Rfilt_sma_de[8]_amean__mean_over_time,audSpec_Rfilt[8],delta,mean,mean,
audSpec_Rfilt_sma_de[9]_stddev__mean_over_time,audSpec_Rfilt[9],delta,std,mean,
audSpec_Rfilt_sma_de[9]_amean__mean_over_time,audSpec_Rfilt[9],delta,mean,mean,
audSpec_Rfilt_sma_de[10]_stddev__mean_over_time,audSpec_Rfilt[10],delta,std,mean,
audSpec_Rfilt_sma_de[10]_amean__mean_over_time,audSpec_Rfilt[10],delta,mean,mean,
audSpec_Rfilt_sma_de[11]_stddev__mean_over_time,audSpec_Rfilt[11],delta,std,mean,
audSpec_Rfilt_sma_de[11]_amean__mean_over_time,audSpec_Rfilt[11],delta,mean,mean,
audSpec_Rfilt_sma_de[12]_stddev__mean_over_time,audSpec_Rfilt[12],delta,std,mean,
audSpec_Rfilt_sma_de[12]_amean__mean_over_time,audSpec_Rfilt[12],delta,mean,mean,
audSpec_Rfilt_sma_de[13]_stddev__mean_over_time,audSpec_Rfilt[13],delta,std,mean,
audSpec_Rfilt_sma_de[13]_amean__mean_over_time,audSpec_Rfilt[13],delta,mean,mean,
audSpec_Rfilt_sma_de[14]_stddev__mean_over_time,audSpec_Rfilt[14],delta,std,mean,
audSpec_Rfilt_sma_de[14]_amean__mean_over_time,audSpec_Rfilt[14],delta,mean,mean,
audSpec_Rfilt_sma_de[15]_stddev__mean_over_time,audSpec_Rfilt[15],delta,std,mean,
audSpec_Rfilt_sma_de[15]_amean__mean_over_time,audSpec_Rfilt[15],delta,mean,mean,
audSpec_Rfilt_sma_de[16]_stddev__mean_over_time,audSpec_Rfilt[16],delta,std,mean,
audSpec_Rfilt_sma_de[16]_amean__mean_over_time,audSpec_Rfilt[16],delta,mean,mean,
audSpec_Rfilt_sma_de[17]_stddev__mean_over_time,audSpec_Rfilt[17],delta,std,mean,
audSpec_Rfilt_sma_de[17]_amean__mean_over_time,audSpec_Rfilt[17],delta,mean,mean,
audSpec_Rfilt_sma_de[18]_stddev__mean_over_time,audSpec_Rfilt[18],delta,std,mean,
audSpec_Rfilt_sma_de[18]_amean__mean_over_time,audSpec_Rfilt[18],delta,mean,mean,
audSpec_Rfilt_sma_de[19]_stddev__mean_over_time,audSpec_Rfilt[19],delta,std,mean,
audSpec_Rfilt_sma_de[19]_amean__mean_over_time,audSpec_Rfilt[19],delta,mean,mean,
audSpec_Rfilt_sma_de[20]_stddev__mean_over_time,audSpec_Rfilt[20],delta,std,mean,
audSpec_Rfilt_sma_de[20]_amean__mean_over_time,audSpec_Rfilt[20],delta,mean,mean,
audSpec_Rfilt_sma_de[21]_stddev__mean_over_time,audSpec_Rfilt[21],delta,std,mean,
audSpec_Rfilt_sma_de[21]_amean__mean_over_time,audSpec_Rfilt[21],delta,mean,mean,
audSpec_Rfilt_sma_de[22]_stddev__mean_over_time,audSpec_Rfilt[22],delta,std,mean,
audSpec_Rfilt_sma_de[22]_amean__mean_over_time,audSpec_Rfilt[22],delta,mean,mean,
audSpec_Rfilt_sma_de[23]_stddev__mean_over_time,audSpec_Rfilt[23],delta,std,mean,
audSpec_Rfilt_sma_de[23]_amean__mean_over_time,audSpec_Rfilt[23],delta,mean,mean,
audSpec_Rfilt_sma_de[24]_stddev__mean_over_time,audSpec_Rfilt[24],delta,std,mean,
audSpec_Rfilt_sma_de[24]_amean__mean_over_time,audSpec_Rfilt[24],delta,mean,mean,
audSpec_Rfilt_sma_de[25]_stddev__mean_over_time,audSpec_Rfilt[25],delta,std,mean,
audSpec_Rfilt_sma_de[25]_amean__mean_over_time,audSpec_Rfilt[25],delta,mean,mean,
pcm_fftMag_fband250-650_sma_de_stddev__mean_over_time,pcm_fftMag_fband250-650,delta,std,mean,
pcm_fftMag_fband250-650_sma_de_amean__mean_over_time,pcm_fftMag_fband250-650,delta,mean,mean,
pcm_fftMag_fband1000-4000_sma_de_stddev__mean_over_time,pcm_fftMag_fband1000-4000,delta,std,mean,
pcm_fftMag_fband1000-4000_sma_de_amean__mean_over_time,pcm_fftMag_fband1000-4000,delta,mean,mean,
pcm_fftMag_spectralRollOff25.0_sma_de_stddev__mean_over_time,pcm_fftMag_spectralRollOff25.0,delta,std,mean,
pcm_fftMag_spectralRollOff25.0_sma_de_amean__mean_over_time,pcm_fftMag_spectralRollOff25.0,delta,mean,mean,
pcm_fftMag_spectralRollOff50.0_sma_de_stddev__mean_over_time,pcm_fftMag_spectralRollOff50.0,delta,std,mean,
pcm_fftMag_spectralRollOff50.0_sma_de_amean__mean_over_time,pcm_fftMag_spectralRollOff50.0,delta,mean,mean,
pcm_fftMag_spectralRollOff75.0_sma_de_stddev__mean_over_time,pcm_fftMag_spectralRollOff75.0,delta,std,mean,
pcm_fftMag_spectralRollOff75.0_sma_de_amean__mean_over_time,pcm_fftMag_spectralRollOff75.0,delta,mean,mean,
pcm_fftMag_spectralRollOff90.0_sma_de_stddev__mean_over_time,pcm_fftMag_spectralRollOff90.0,delta,std,mean,
pcm_fftMag_spectralRollOff90.0_sma_de_amean__mean_over_time,pcm_fftMag_spectralRollOff90.0,delta,mean,mean,
pcm_fftMag_spectralFlux_sma_de_stddev__mean_over_time,pcm_fftMag_spectralFlux,delta,std,mean,
pcm_fftMag_spectralFlux_sma_de_amean__mean_over_time,pcm_fftMag_spectralFlux,delta,mean,mean,
pcm_fftMag_spectralCentroid_sma_de_stddev__mean_over_time,pcm_fftMag_spectralCentroid,delta,std,mean,
pcm_fftMag_spectralCentroid_sma_de_amean__mean_over_time,pcm_fftMag_spectralCentroid,delta,mean,mean,
pcm_fftMag_spectralEntropy_sma_de_stddev__mean_over_time,pcm_fftMag_spectralEntropy,delta,std,mean,
pcm_fftMag_spectralEntropy_sma_de_amean__mean_over_time,pcm_fftMag_spectralEntropy,delta,mean,mean,
pcm_fftMag_spectralVariance_sma_de_stddev__mean_over_time,pcm_fftMag_spectralVariance,delta,std,mean,
pcm_fftMag_spectralVariance_sma_de_amean__mean_over_time,pcm_fftMag_spectralVariance,delta,mean,mean,
pcm_fftMag_spectralSkewness_sma_de_stddev__mean_over_time,pcm_fftMag_spectralSkewness,delta,std,mean,
pcm_fftMag_spectralSkewness_sma_de_amean__mean_over_time,pcm_fftMag_spectralSkewness,delta,mean,mean,
pcm_fftMag_spectralKurtosis_sma_de_stddev__mean_over_time,pcm_fftMag_spectralKurtosis,delta,std,mean,
pcm_fftMag_spectralKurtosis_sma_de_amean__mean_over_time,pcm_fftMag_spectralKurtosis,delta,mean,mean,
pcm_fftMag_spectralSlope_sma_de_stddev__mean_over_time,pcm_fftMag_spectralSlope,delta,std,mean,
pcm_fftMag_spectralSlope_sma_de_amean__mean_over_time,pcm_fftMag_spectralSlope,delta,mean,mean,
pcm_fftMag_psySharpness_sma_de_stddev__mean_over_time,pcm_fftMag_psySharpness,delta,std,mean,
pcm_fftMag_psySharpness_sma_de_amean__mean_over_time,pcm_fftMag_psySharpness,delta,mean,mean,
pcm_fftMag_spectralHarmonicity_sma_de_stddev__mean_over_time,pcm_fftMag_spectralHarmonicity,delta,std,mean,
pcm_fftMag_spectralHarmonicity_sma_de_amean__mean_over_time,pcm_fftMag_spectralHarmonicity,delta,mean,mean,
pcm_fftMag_mfcc_sma_de[1]_stddev__mean_over_time,pcm_fftMag_mfcc[1],delta,std,mean,
pcm_fftMag_mfcc_sma_de[1]_amean__mean_over_time,pcm_fftMag_mfcc[1],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[2]_stddev__mean_over_time,pcm_fftMag_mfcc[2],delta,std,mean,
pcm_fftMag_mfcc_sma_de[2]_amean__mean_over_time,pcm_fftMag_mfcc[2],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[3]_stddev__mean_over_time,pcm_fftMag_mfcc[3],delta,std,mean,
pcm_fftMag_mfcc_sma_de[3]_amean__mean_over_time,pcm_fftMag_mfcc[3],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[4]_stddev__mean_over_time,pcm_fftMag_mfcc[4],delta,std,mean,
pcm_fftMag_mfcc_sma_de[4]_amean__mean_over_time,pcm_fftMag_mfcc[4],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[5]_stddev__mean_over_time,pcm_fftMag_mfcc[5],delta,std,mean,
pcm_fftMag_mfcc_sma_de[5]_amean__mean_over_time,pcm_fftMag_mfcc[5],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[6]_stddev__mean_over_time,pcm_fftMag_mfcc[6],delta,std,mean,
pcm_fftMag_mfcc_sma_de[6]_amean__mean_over_time,pcm_fftMag_mfcc[6],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[7]_stddev__mean_over_time,pcm_fftMag_mfcc[7],delta,std,mean,
pcm_fftMag_mfcc_sma_de[7]_amean__mean_over_time,pcm_fftMag_mfcc[7],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[8]_stddev__mean_over_time,pcm_fftMag_mfcc[8],delta,std,mean,
pcm_fftMag_mfcc_sma_de[8]_amean__mean_over_time,pcm_fftMag_mfcc[8],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[9]_stddev__mean_over_time,pcm_fftMag_mfcc[9],delta,std,mean,
pcm_fftMag_mfcc_sma_de[9]_amean__mean_over_time,pcm_fftMag_mfcc[9],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[10]_stddev__mean_over_time,pcm_fftMag_mfcc[10],delta,std,mean,
pcm_fftMag_mfcc_sma_de[10]_amean__mean_over_time,pcm_fftMag_mfcc[10],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[11]_stddev__mean_over_time,pcm_fftMag_mfcc[11],delta,std,mean,
pcm_fftMag_mfcc_sma_de[11]_amean__mean_over_time,pcm_fftMag_mfcc[11],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[12]_stddev__mean_over_time,pcm_fftMag_mfcc[12],delta,std,mean,
pcm_fftMag_mfcc_sma_de[12]_amean__mean_over_time,pcm_fftMag_mfcc[12],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[13]_stddev__mean_over_time,pcm_fftMag_mfcc[13],delta,std,mean,
pcm_fftMag_mfcc_sma_de[13]_amean__mean_over_time,pcm_fftMag_mfcc[13],delta,mean,mean,
pcm_fftMag_mfcc_sma_de[14]_stddev__mean_over_time,pcm_fftMag_mfcc[14],delta,std,mean,
pcm_fftMag_mfcc_sma_de[14]_amean__mean_over_time,pcm_fftMag_mfcc[14],delta,mean,mean,
F0final_sma_stddev__std_over_time,F0final,value,std,std,
F0final_sma_amean__std_over_time,F0final,value,mean,std,
voicingFinalUnclipped_sma_stddev__std_over_time,voicingFinalUnclipped,value,std,std,
voicingFinalUnclipped_sma_amean__std_over_time,voicingFinalUnclipped,value,mean,std,
jitterLocal_sma_stddev__std_over_time,jitterLocal,value,std,std,
jitterLocal_sma_amean__std_over_time,jitterLocal,value,mean,std,
